roll, pitch, yaw,nr,time
-150.89,50.0,302.59,81,Tue Oct  3 19:48:40 2017
-119.71,36.6,330.7,82,Tue Oct  3 19:48:40 2017
-111.36,64.26,331.69,83,Tue Oct  3 19:48:40 2017
-97.27,57.25,-20.6,84,Tue Oct  3 19:48:41 2017
-88.69,53.63,-13.71,85,Tue Oct  3 19:48:41 2017
-72.11,53.0,-4.22,86,Tue Oct  3 19:48:41 2017
-57.67,54.05,-2.8,87,Tue Oct  3 19:48:41 2017
-23.57,58.99,6.04,88,Tue Oct  3 19:48:41 2017
-1.88,59.14,17.94,89,Tue Oct  3 19:48:41 2017
14.03,55.53,25.28,90,Tue Oct  3 19:48:41 2017
2.15,47.74,29.7,91,Tue Oct  3 19:48:41 2017
-18.0,38.09,28.69,92,Tue Oct  3 19:48:41 2017
-28.83,27.76,26.67,93,Tue Oct  3 19:48:41 2017
-38.7,28.98,22.14,94,Tue Oct  3 19:48:41 2017
-45.44,29.95,14.75,95,Tue Oct  3 19:48:41 2017
-48.85,30.26,11.19,96,Tue Oct  3 19:48:41 2017
-53.09,28.49,6.84,97,Tue Oct  3 19:48:41 2017
-57.01,27.12,3.87,98,Tue Oct  3 19:48:41 2017
-64.2,22.68,-1.02,99,Tue Oct  3 19:48:41 2017
-67.47,17.6,-5.14,100,Tue Oct  3 19:48:41 2017
-67.79,12.75,-7.01,101,Tue Oct  3 19:48:41 2017
-66.94,4.68,-9.17,102,Tue Oct  3 19:48:41 2017
-66.57,-0.52,-9.9,103,Tue Oct  3 19:48:41 2017
-64.36,-5.84,-11.31,104,Tue Oct  3 19:48:42 2017
-61.72,-4.89,-11.99,105,Tue Oct  3 19:48:42 2017
-58.33,-0.62,-11.81,106,Tue Oct  3 19:48:42 2017
-52.5,7.04,-9.81,107,Tue Oct  3 19:48:42 2017
-48.99,12.77,-8.5,108,Tue Oct  3 19:48:42 2017
-40.93,20.09,-4.4,109,Tue Oct  3 19:48:42 2017
-28.6,25.86,2.08,110,Tue Oct  3 19:48:42 2017
-18.49,28.52,7.17,111,Tue Oct  3 19:48:42 2017
-4.65,29.2,16.23,112,Tue Oct  3 19:48:42 2017
2.73,27.73,21.21,113,Tue Oct  3 19:48:42 2017
10.45,24.86,26.91,114,Tue Oct  3 19:48:42 2017
12.9,24.45,29.03,115,Tue Oct  3 19:48:42 2017
10.35,24.42,28.41,116,Tue Oct  3 19:48:42 2017
1.88,25.68,25.47,117,Tue Oct  3 19:48:42 2017
-4.54,25.91,22.4,118,Tue Oct  3 19:48:42 2017
-15.02,26.28,16.6,119,Tue Oct  3 19:48:42 2017
-22.17,25.55,12.76,120,Tue Oct  3 19:48:42 2017
-31.86,22.59,7.62,121,Tue Oct  3 19:48:42 2017
-41.79,17.63,2.17,122,Tue Oct  3 19:48:42 2017
-47.11,13.71,-1.59,123,Tue Oct  3 19:48:43 2017
-55.05,5.81,-5.34,124,Tue Oct  3 19:48:43 2017
-57.48,1.13,-7.89,125,Tue Oct  3 19:48:43 2017
-59.29,-5.65,-10.18,126,Tue Oct  3 19:48:43 2017
-58.22,-8.6,-11.7,127,Tue Oct  3 19:48:43 2017
-54.92,-8.71,-12.33,128,Tue Oct  3 19:48:43 2017
-49.5,-3.25,-11.64,129,Tue Oct  3 19:48:43 2017
-45.08,1.87,-9.43,130,Tue Oct  3 19:48:43 2017
-37.06,9.11,-3.54,131,Tue Oct  3 19:48:43 2017
-30.46,13.15,1.54,132,Tue Oct  3 19:48:43 2017
-19.5,16.42,10.47,133,Tue Oct  3 19:48:43 2017
-11.4,16.7,16.42,134,Tue Oct  3 19:48:43 2017
-0.05,15.19,24.97,135,Tue Oct  3 19:48:43 2017
7.78,12.36,32.44,136,Tue Oct  3 19:48:43 2017
9.82,11.24,35.53,137,Tue Oct  3 19:48:43 2017
11.06,9.81,37.4,138,Tue Oct  3 19:48:43 2017
8.99,9.32,37.15,139,Tue Oct  3 19:48:43 2017
3.29,10.2,33.18,140,Tue Oct  3 19:48:43 2017
-1.94,11.23,29.19,141,Tue Oct  3 19:48:43 2017
-12.73,10.81,21.87,142,Tue Oct  3 19:48:44 2017
-21.21,10.15,13.38,143,Tue Oct  3 19:48:44 2017
-27.91,9.71,7.95,144,Tue Oct  3 19:48:44 2017
-37.25,8.19,0.74,145,Tue Oct  3 19:48:44 2017
-44.51,8.27,-2.88,146,Tue Oct  3 19:48:44 2017
-53.94,6.28,-6.0,147,Tue Oct  3 19:48:44 2017
-61.14,0.6,-8.52,148,Tue Oct  3 19:48:44 2017
-69.65,-11.95,-15.33,149,Tue Oct  3 19:48:44 2017
-72.56,-19.97,-17.04,150,Tue Oct  3 19:48:44 2017
-71.53,-20.22,-15.6,151,Tue Oct  3 19:48:44 2017
-65.63,-16.45,-15.02,152,Tue Oct  3 19:48:44 2017
-61.31,-13.17,-14.31,153,Tue Oct  3 19:48:44 2017
-54.83,-5.33,-12.96,154,Tue Oct  3 19:48:44 2017
-48.55,0.01,-10.09,155,Tue Oct  3 19:48:44 2017
-36.63,9.34,-6.82,156,Tue Oct  3 19:48:44 2017
-25.06,13.05,1.14,157,Tue Oct  3 19:48:44 2017
-17.97,14.18,7.42,158,Tue Oct  3 19:48:44 2017
-8.31,13.49,15.43,159,Tue Oct  3 19:48:44 2017
-4.41,13.72,19.0,160,Tue Oct  3 19:48:44 2017
-1.87,14.37,21.32,161,Tue Oct  3 19:48:44 2017
-3.31,14.76,21.14,162,Tue Oct  3 19:48:45 2017
-7.12,15.57,19.35,163,Tue Oct  3 19:48:45 2017
-13.82,15.97,16.99,164,Tue Oct  3 19:48:45 2017
-18.8,15.63,15.16,165,Tue Oct  3 19:48:45 2017
-25.22,15.49,11.17,166,Tue Oct  3 19:48:45 2017
-29.87,14.55,7.73,167,Tue Oct  3 19:48:45 2017
-38.35,10.81,2.36,168,Tue Oct  3 19:48:45 2017
-43.05,6.77,-1.42,169,Tue Oct  3 19:48:45 2017
-49.07,-0.33,-6.68,170,Tue Oct  3 19:48:45 2017
-53.57,-6.95,-10.99,171,Tue Oct  3 19:48:45 2017
-55.0,-10.39,-12.76,172,Tue Oct  3 19:48:45 2017
-55.46,-12.76,-13.99,173,Tue Oct  3 19:48:45 2017
-54.72,-12.59,-13.6,174,Tue Oct  3 19:48:45 2017
-53.19,-9.59,-12.27,175,Tue Oct  3 19:48:45 2017
